,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
11590,C:\Users\shiwa\pastoral_74\PMC10557253\sections\2_body\1_results\4_functional_investigation_of_ti\1_p.xml,a  The luciferase reporter assays of  LCT  promoter and enhancer constructs.,RES,LCT,ORG,38,41,,,,
11592,C:\Users\shiwa\pastoral_74\PMC10557253\sections\2_body\1_results\4_functional_investigation_of_ti\1_p.xml,Basal levels of expression were assessed using hLPH1085 constructed with a pGL3-basic vector and 1085 bp  LCT  promoter.,RES,LCT,ORG,106,109,,,,
11597,C:\Users\shiwa\pastoral_74\PMC10557253\sections\2_body\1_results\4_functional_investigation_of_ti\1_p.xml,c  Electrophoretic mobility shift assays with Caco-2 cell nuclear extracts and oligonucleotide probes spanning −  13838G  >  A  SNP.,RES,Caco-2,ORG,46,52,,,,
11599,C:\Users\shiwa\pastoral_74\PMC10557253\sections\2_body\1_results\4_functional_investigation_of_ti\1_p.xml,d  The luciferase reporter assays for caco-2 cells co-transfected with the  LCT  promoter and enhancer constructs harboring −  13838*A  or −  13838*G  in the presence of HNF4A (hLPH1085 − 13910C − 13838A/G + HNF4A) and pcDNA3.1 expression constructs (hLPH1085 − 13910C − 13838A/G + pcDNA3.1).,RES,LCT,ORG,76,79,,,,
11600,C:\Users\shiwa\pastoral_74\PMC10557253\sections\2_body\1_results\4_functional_investigation_of_ti\1_p.xml,Statistical significance was tested using the unpaired Student’s  t -test: *0.01 <  P  < 0.05; ** P  < 0.01,RES,Student’s,ORG,55,64,,,,
11606,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\1_p.xml,Calculus samples from Eastern Sudan yielded both undamaged and damaged starch grains.,RES,Eastern Sudan,ORG,22,35,,,,
11616,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\2_p.xml,"In our archaeological population, we observed an unimodal distribution characterised by a reduced quantity of A-Type grains and a large quantity of B-Type grains.",RES,A-Type,ORG,110,116,,,,
11626,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\2_p.xml,( g ) Starch granules of modern  Sorghum bicolor  (Poaceae).,RES,Sorghum,ORG,33,40,,,,
11629,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\2_p.xml,"( j ) Interdigitate phytolith from SD_24 (site K1 XII, Middle Neolithic).",RES,SD_24,ORG,35,40,,,,
11636,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\3_p.xml,The morphological characteristics are diagnostic of Fabaceae starch grains.,RES,Fabaceae,ORG,52,60,,,,
11637,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\3_p.xml,"In particular, the characteristics observed fall within the Faboideae subfamily of Fabaceae 7 , 29 , 64  which includes East African legume species such as the hyacinth bean ( Lablab purpureus ) and cowpea ( Vigna unguiculata ) included in the archaeobotanical record from Eastern Sudan 7 , 64 .",RES,"Lablab, Eastern Sudan","ORG, ORG","176, 273","182, 286",,,,
11651,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\5_p.xml,"These morphological characteristics fall within the Panicoidae subfamily of Poaceae, which include the so-called “big millets” such as  Sorghum bicolor  or  Pennisetum glaucum 7 , 29 , 66 , 67 .",RES,"Poaceae, Sorghum","ORG, ORG","76, 136","83, 143",,,,
11652,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\2_starch_granules\5_p.xml,Both these millets are included in the archaeobotanical record from Eastern Sudan 13 – 16 .,RES,Eastern Sudan,ORG,68,81,,,,
11656,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\3_phytoliths\1_p.xml,"Among these, we recorded a bilobate short-cell phytolith (Site K1 XII: Tomb 28), which is commonly associated with Panicoideae grasses (family Poaceae) 66 , 69 .",RES,Poaceae,ORG,143,150,,,,
11661,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\5_dentoalveolar_pathologies\1_p.xml,"Dental caries was observable in all 78 individuals, for a total of 1173 teeth examined, while the scoring of  ante mortem  tooth loss (AMTL) and abscesses was possible in 62 individuals.",RES,AMTL,ORG,135,139,,,,
11665,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\5_dentoalveolar_pathologies\2_p.xml,"AMTL was recorded in 8 individuals only, all from the Middle Neolithic series.",RES,AMTL,ORG,0,4,,,,
11671,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\5_dentoalveolar_pathologies\2_p.xml,"( b ) Ante mortem tooth loss (AMTL) of the lower right first molar in a 40 + -year-old male individual (Tomb 23, Middle Neolithic).",RES,AMTL,ORG,30,34,,,,
11672,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\5_dentoalveolar_pathologies\2_p.xml,"( c ) Abscess and AMTL of the lower right first molar in a 40 + -year-old male individual (Tomb 30, Middle Neolithic).",RES,AMTL,ORG,18,22,,,,
11673,C:\Users\shiwa\pastoral_74\PMC10882051\sections\2_body\1_results\5_dentoalveolar_pathologies\2_p.xml,"( d ) Abscess and AMTL of the lower right first and second molars in a 40 + -year-old female individual (Tomb 111, Middle Neolithic).",RES,AMTL,ORG,18,22,,,,
11679,C:\Users\shiwa\pastoral_74\PMC10967291\sections\2_body\2_3._results_and_discussion\1_3.1._general_characterization_\2_p.xml,"Farms were, on average, 58 ha, with 0.86 sheep/UAA.",RES,UAA,ORG,47,50,,,,
11682,C:\Users\shiwa\pastoral_74\PMC10967291\sections\2_body\2_3._results_and_discussion\1_3.1._general_characterization_\2_p.xml,The second most common breed was the “Barbarine” (24%); crossbred or mixed sheep (Barbarine x QFO) represented 18%; and only 6% of the flocks were represented by the “Noire de Thibar” breed.,RES,the “Noire de Thibar,ORG,162,182,,,,
11693,C:\Users\shiwa\pastoral_74\PMC2864741\sections\1_body\2_results\1_1__model_predictions\1_p.xml,"1 , GIS-compatible data are available for detailed inspection and further use ( Data Sets S1 ,  S2 ,  S3 ,  S4 ).",RES,"GIS, Data Sets S1","ORG, ORG","4, 80","7, 92",,,,
11705,C:\Users\shiwa\pastoral_74\PMC2864741\sections\1_body\2_results\2_2__shared_suitability\4_p.xml,"Incidentally, this largely overlaps two of Diamonds prime examples of the genocide on hunters-and-gatherers, the expansion of the Bantu and of the Austronesians  1 .",RES,Diamond,ORG,43,50,,,,
11706,C:\Users\shiwa\pastoral_74\PMC2864741\sections\1_body\2_results\2_2__shared_suitability\4_p.xml,"High ISS for pastoralist vs. hunter-and-gatherers identified large areas in southern and eastern Africa (reminiscent of the scattered occurrences of Khoisan ethnic groups), and in much of the drier part of Australia (where pseudo-nomadic cattle and sheep herding is carried out on formerly aboriginal land).",RES,Khoisan,ORG,149,156,,,,
11722,C:\Users\shiwa\pastoral_74\PMC2864741\sections\1_body\2_results\3_3__agriculture_and_population_\5_p.xml,"We also evaluated multivariate models of linear combinations of the four landuse suitabilities, using AIC-based model selection  31 .",RES,AIC,ORG,102,105,,,,
11726,C:\Users\shiwa\pastoral_74\PMC2864741\sections\1_body\2_results\3_3__agriculture_and_population_\5_p.xml,"Similar effects were observed in a generalized additive model (GAM, allowing non-linearity in the shape of links).",RES,GAM,ORG,63,66,,,,
11731,C:\Users\shiwa\pastoral_74\PMC2864741\sections\1_body\2_results\3_3__agriculture_and_population_\6_p.xml,"We found a weaker, yet significant linear relationship between suitability for agriculture and  -transformed cell-wide GDP-PPP (N = 2000, r 2  = 0.153, F adj  = 11.0, df adj  = 60.7, p = 0.002), while a breakpoint regression (steep positive relationship to a suitability of 0.1, weaker positive relationship above that; data not shown) explains only slightly more data variability (r 2  = 16.4).",RES,F,ORG,152,153,,,,
11734,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\1_evaluation_of_the_selective_si\1_p.xml,"In the database from a GWS for recent positive selection based on the iHS statistic  16  and relying on HapMap phase II data, we found a significant p-value (p = 0.040607) for  SERPINB11  in the YRI.",RES,"GWS, II, YRI","ORG, ORG, ORG","23, 119, 197","26, 121, 200",,,,
11739,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\1_evaluation_of_the_selective_si\3_p.xml,"To define long haplotypes carrying the potential selected variants, we used SNP iHS values to identify configurations of tightly linked alleles  16 ,  17 ,  20 .",RES,SNP,ORG,76,79,,,,
11742,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\2__\1_p.xml,"To reveal the complete functional variation of  SERPINB11 , we surveyed six fragments encompassing a total of 9.2 kb ( Figure 1 ), from a subset of 20 YRI individuals.",RES,YRI,ORG,151,154,,,,
11743,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\2__\1_p.xml,"A total of 62 polymorphic sites were identified ( Figure 3 ), including the nonsense mutation X90E, 9 non-synonymous replacements (A51E, L103F, T148M, T169I, A181T, W188R, R288Q, I 293T, and S303P), 5 synonymous substitutions, and 47 noncoding polymorphisms.",RES,L103F,ORG,137,142,,,,
11744,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\2__\1_p.xml,"Except for the L103F, T169I, and R288Q variants, all non-synonymous mutations were previously described by Askew and colleagues  15 .",RES,L103F,ORG,15,20,,,,
11746,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\2__\3_p.xml,"In the upstream region of the recombination hotspot ( SERPINB11  Region I;  Figure 3 ) the substitutions X90E, A181T, and W188R were found in complete LD (|D′| = 1 and r 2  = 1) with rs1403299 and rs8083794 sites belonging to the cluster of SNPs with significant iHS scores, and.",RES,LD,ORG,151,153,,,,
11747,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\2__\3_p.xml,In the region downstream of the hotspot ( SERPINB11  Region II;  Figure 3 ) strong levels of LD were also detected for rs953696 and rs953694 sites and for the S303P replacement (|D′| = 1; r 2 ≥0.90).,RES,LD,ORG,93,95,,,,
11750,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\3_polymorphism_levels_and_neutra\1_p.xml,"Tajimas D statistic summarizes the information about the spectrum of allele frequencies  21  and in populations of African descent, tends to be slightly negative because of a small excess of rare variants  22 – 26 .",RES,Tajima,ORG,0,6,,,,
11751,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\3_polymorphism_levels_and_neutra\1_p.xml,"However, the estimate obtained for  SERPINB11  in the YRI (Tajimas D = 1.42) differs from the common trend in populations of African descent and suggests an excess of intermediate frequency variants for both regions flanking the recombination hotspot ( Table 1 ).",RES,"YRI, Tajima","ORG, ORG","54, 59","57, 65",,,,
11752,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\3_polymorphism_levels_and_neutra\1_p.xml,The theoretical null distributions generated by coalescent simulations for a calibrated model of YRI demography  27  confirm that  SERPINB11  departs significantly from expectations under the neutral equilibrium model This condition is further sustained by alternative models of human demography ( Table 2 ).,RES,YRI,ORG,97,100,,,,
11762,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\5_population_patterns_and_correl\1_p.xml,"Importantly, we could identify sites X90E, A181T, and S303P as surrogate markers of the full-length  SERPINB11  haplotype in the HapMap data set (YRI: 40%; CEU: 28%; and CHB+JPT: 37%).",RES,"YRI, CHB+JPT","ORG, ORG","146, 170","149, 177",,,,
11763,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\5_population_patterns_and_correl\1_p.xml,The same sites were used to access the geographic distribution of  SERPINB11  haplotypes in the 52 worldwide populations from the Human Genome Diversity Project (HGDP) panel in  Figure 5   35 .,RES,the Human Genome Diversity Project,ORG,126,160,,,,
11765,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\5_population_patterns_and_correl\3_p.xml,"To assess the impact of the variables: ecoregion (dry, polar, humid-temperate, and humid-tropical), subsistence (agriculture, foraging, horticulture, and pastoralism), and main dietary component (cereals, fats-meat-and-milk, and roots-and-tubers) on  SERPINB11  frequencies, we used a novel statistic, a Bayes factor, implemented through the dbCline database ( http://genapps.uchicago.edu/labweb/index.html ).",RES,"Bayes, dbCline","ORG, ORG","304, 342","309, 349",,,,
11766,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\5_population_patterns_and_correl\3_p.xml,"This novel statistic measures the support for a model in which the allele frequencies of a SNP are dependent on an environmental variable in addition to population structure, compared to a model in which allele frequencies are dependent solely on population structure  36 ,  37 .",RES,SNP,ORG,91,94,,,,
11773,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\6_phylogenetic-based_tests_of_se\1_p.xml,"To investigate the long-term evolution of  SERPINB11 , we performed a series of phylogenetic analyses using the coding sequences of eight primate species:  Homo sapiens, Pan troglodytes ,  Gorilla gorilla ,  Pongo pygmeus ,  Macaca mulatta ,  Papio anubis ,  Colobus guereza , and  Callithrix jacchus ; and the sequence of  Canis lupus familiaris , which was used as an out-group.",RES,"Pan, Colobus, Callithrix","ORG, ORG, ORG","170, 259, 282","173, 266, 292",,,,
11783,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\7_protein_modeling\3_p.xml,"These helices are near the A β-sheet (strands s2A, s3A, s5A, and s6A – see  Figure 7 ), which undergoes major structural changes during insertion of RCL in the shutter region.",RES,RCL,ORG,149,152,,,,
11791,C:\Users\shiwa\pastoral_74\PMC3290568\sections\1_body\1_results\7_protein_modeling\6_p.xml,"These changes can contribute to a major destabilization of the protein folding that may ultimately influence the structural rearrangements necessary for the protein to undergo the S-to-R transition, thus affecting SERPINB11s ability of to inhibit proteases.",RES,SERPINB11,ORG,214,223,,,,
11792,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\1_p.xml,Two of the methods used to detect selection (Fst and XP-EHH) require a genetically similar reference population.,RES,Fst,ORG,45,48,,,,
11793,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\1_p.xml,"A comparison of Fst among HapMap populations shows that the MKK and African-Americans from South-west USA (ASW) have the lowest average Fst (0.0145), followed by MKK and the Luhya in Webuye, Kenya (LWK) (0.017), while Fst between MKK and Yoruba from Nigeria (YRI) is significantly higher (0.027) ( Table S6  in  29 ).",RES,"Fst, MKK, ASW, Fst, MKK, Fst, MKK","ORG, ORG, ORG, ORG, ORG, ORG, ORG","16, 60, 107, 136, 162, 218, 230","19, 63, 110, 139, 165, 221, 233",,,,
11794,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\1_p.xml,"However, a plot of the first two principal components from a PCA analysis of the African populations and Utah residents with Northern and Western European ancestry from the CEPH collection (CEU) (Figure S2, (c) in  29 ) shows that the MKK are genetically closer to LWK.",RES,"PCA, CEPH, MKK, LWK","ORG, ORG, ORG, ORG","61, 173, 237, 267","64, 177, 240, 270",,,,
11795,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\2_p.xml,"To understand the degree of admixture in the populations ASW, CEU, LWK, MKK and YRI, we used STRUCTURE  34  on a randomly sampled subset of 12,999 SNPs from the HapMap 3 dataset.",RES,"ASW, CEU, LWK, MKK, YRI","ORG, ORG, ORG, ORG, ORG","57, 62, 67, 72, 80","60, 65, 70, 75, 83",,,,
11797,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\2_p.xml,"In agreement with  29 ,  35 , the STRUCTURE results show that whereas the CEU and YRI are genetically homogenous, the LWK, ASW and MKK are admixed, with a ∼20% CEU admixture in ASW.",RES,"STRUCTURE, YRI, LWK, ASW, MKK, ASW","ORG, ORG, ORG, ORG, ORG, ORG","38, 86, 122, 127, 135, 181","47, 89, 125, 130, 138, 184",,,,
11798,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\2_p.xml,"The LWK and ASW also have a large admixture with YRI (66% and 76% respectively), while MKK have a smaller admixture with YRI (10%).",RES,"LWK, ASW, YRI, MKK, YRI","ORG, ORG, ORG, ORG, ORG","4, 12, 49, 87, 121","7, 15, 52, 90, 124",,,,
11799,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\2_p.xml,"In addition, the STRUCTURE results indicate that MKK have a 15% admixture with two populations that are not sampled in the HapMap study.",RES,"STRUCTURE, MKK","ORG, ORG","17, 49","26, 52",,,,
11800,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\2_p.xml,"We also see a small admixture between MKK and LWK, which is expected, given their geographical proximity.",RES,"MKK, LWK","ORG, ORG","38, 46","41, 49",,,,
11801,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\2_p.xml,"These results are largely consistent with linguistic phylogeny; whereas the Maasai speak a Nilo-Saharan language, the Luhya and the Yoruba speak Niger-Congo languages, also spoken by African ancestors of African Americans  35 .",RES,Niger-Congo,ORG,145,156,,,,
11802,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\4_p.xml,"To further quantify the genetic similarity of MKK, LWK, ASW and YRI to the six ancestral populations, we assigned a six component vector to each of these populations, whose coordinates were the fraction of the ancestral components represented in them.",RES,"MKK, LWK, ASW, YRI","ORG, ORG, ORG, ORG","46, 51, 56, 64","49, 54, 59, 67",,,,
11803,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\4_p.xml,"A comparison of the cosine similarity of these vectors showed that the largest overlap was between MKK and LWK (0.18), followed by MKK and ASW (0.16).",RES,"MKK, LWK, MKK, ASW","ORG, ORG, ORG, ORG","99, 107, 131, 139","102, 110, 134, 142",,,,
11804,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\1_population_structure\4_p.xml,"Based on their closer proximity to MKK in the PCA plot, as well as closer cosine similarity, we chose the LWK as the appropriate reference population for the Fst and XP-EHH analysis.",RES,"MKK, PCA, LWK, Fst","ORG, ORG, ORG, ORG","35, 46, 106, 158","38, 49, 109, 161",,,,
11805,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\3_the_non-synonymous_snp_at_rs22\1_p.xml,"We found that the non-synonymous SNP with the highest genome-wide significant Fst was rs2241883 in the gene Fatty Acid binding Protein 1, Liver ( FABP1,  alternative name  LFABP ) ( Table 2  and  Figure 2a ).",RES,"Fst, FABP1, LFABP","ORG, ORG, ORG","78, 146, 172","81, 151, 177",,,,
11806,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\3_the_non-synonymous_snp_at_rs22\1_p.xml,"The SNP rs2241883 is a TC non-synonymous transition which encodes a Threonine to Alanine (T94A) change in the protein  LFABP , which is expressed in liver.",RES,"SNP, LFABP","ORG, ORG","4, 119","7, 124",,,,
11807,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\3_the_non-synonymous_snp_at_rs22\1_p.xml,"The C allele was associated with total tri-glyceride and low density lipoprotein ( LDL ) cholesterol levels in Germans  36 , and with Apolipoprotein B (ApoB) levels induced by a high fat diet in French-Canadians  37 .",RES,ApoB,ORG,154,158,,,,
11808,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\3_the_non-synonymous_snp_at_rs22\1_p.xml,"The MKK have high Fst at this SNP, relative to all the other three African populations in Hapmap ( Table 2 ).",RES,"MKK, SNP, Hapmap ( Table 2","ORG, ORG, ORG","4, 30, 90","7, 33, 106",,,,
11809,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\3_the_non-synonymous_snp_at_rs22\1_p.xml,The allele frequency of the C allele is also highest (0.44) in MKK compared to all other HapMap3 populations (in which the frequency ranges from 0.09–0.32).,RES,MKK,ORG,63,66,,,,
11816,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\4_maasai_are_under_selection_in_\2_p.xml,"We found that the GC-14010 polymorphism in the MCM6 gene is segregating in these samples (n GG  = 1, n GC  = 3, n CC  = 2).",RES,"GC-14010, GC \u200a","ORG, ORG","18, 103","26, 107",,,,
11817,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\4_maasai_are_under_selection_in_\2_p.xml,We estimated the frequency of the beneficial (C) allele in the MKK samples to be p C  = 0.58+/−0.14 (68% CI from finite size sampling - details in  Appendix S5 ).,RES,MKK,ORG,63,66,,,,
11819,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\5_the_selected_locus_on_chr2q21_\1_p.xml,The selected locus on Chr2q21 contains polymorphisms that have been associated with cholesterol levels in various GWAS studies  43 – 45 .,RES,Chr2q21,ORG,22,29,,,,
11820,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\5_the_selected_locus_on_chr2q21_\1_p.xml,"The SNP rs7570971 in  RAB3GAP1 , not found in the HapMap data for the MKK, is associated with total cholesterol levels in a GWAS of >100,000 individuals of European descent  43 .",RES,"SNP, MKK","ORG, ORG","4, 70","7, 73",,,,
11823,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\5_the_selected_locus_on_chr2q21_\2_p.xml,"The authors found that the lactase persistence genotype in Finns, as defined by the genotype for SNP rs4988235, was associated with lower cholesterol values.",RES,SNP,ORG,97,100,,,,
11826,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\5_the_selected_locus_on_chr2q21_\2_p.xml,"The same SNP was identified by our methods as a selection candidate ( Tables S1 ,  S2 ,  S3 ).",RES,SNP,ORG,9,12,,,,
11827,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\5_the_selected_locus_on_chr2q21_\2_p.xml,"However, once again, the major allele in the MKK (frequency 87%) was the one associated with higher LDL-C levels.",RES,MKK,ORG,45,48,,,,
11828,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\6_the_\1_p.xml,"On Chromosome 7, a 261 kb wide region spanning the entire Cytochrome P450 Subfamily 3A ( CYP3A ) locus was identified as a candidate for selection by Fst and iHS ( Tables 1 ,  2 ).",RES,"Chromosome 7, Fst","ORG, ORG","3, 150","15, 153",,,,
11829,C:\Users\shiwa\pastoral_74\PMC3461017\sections\1_body\1_results\6_the_\1_p.xml,"All  CYP  genes in this locus contain SNPs with genome-wide significant Fst or iHS scores, including:  CYP3A4  (a potent oxidizer of steroids and drugs),  CYP3A5  (involved in oxidation of fatty acids and steroids in the liver),  CYP3A7  (the main  CYP  enzyme expressed in fetal livers) and  CYP3A43  (involved in testosterone metabolism).",RES,Fst,ORG,72,75,,,,
11833,C:\Users\shiwa\pastoral_74\PMC3519842\sections\1_body\2_results\1_statistical_analyses\1_p.xml,"However, model simplification based on AIC retained the effect of winter pasture size in all the analyses.",RES,AIC,ORG,39,42,,,,
11893,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\10_p.xml,Reported incidence of malaria was significantly more common among the Rangi compared to the Maasai.,RES,Rangi,ORG,70,75,,,,
11900,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\11_p.xml,"For example, a child living in a village in the wettest quartile for annual rainfall had both substantially higher HAZ (B = 0.40, 95%CI = 0.09–0.71, p<0.001) and WHZ scores (B = 0.41, 95%CI = 0.19–0.65, p<0.001).",RES,"HAZ, WHZ","ORG, ORG","115, 162","118, 165",,,,
11901,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\11_p.xml,"Including this effect in our multivariate analyses also reduces the magnitude of ethnic comparisons, particularly when comparing Maasai and Meru children, and particularly for WHZ scores (i.e.",RES,"Maasai, WHZ","ORG, ORG","129, 176","135, 179",,,,
11912,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\7_p.xml,"In terms of adjusted HAZ values, the contrast between Maasai and Meru children corresponds to almost a full standard deviation (B = 0.92, 95% Confidence Interval (CI)  = 0.60–1.25, p<0.001).",RES,HAZ,ORG,21,24,,,,
11914,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\7_p.xml,"Adjusted WHZ scores show these differences correspond to around half a standard deviation when contrasting the Maasai to the Sukuma or Meru (B = 0.44, 95%CI = 0.26–0.63, p<0.001; and B = 0.43, 95%CI = 0.16–0.70, p<0.001 respectively), but the comparison did not reach statistical significance when contrasting the Maasai to the Rangi.",RES,WHZ,ORG,9,12,,,,
11915,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\7_p.xml,"WAZ similarly places Maasai children as having the worst, and Meru the best, nutritional status compared to other ethnic groups.",RES,Maasai,ORG,21,27,,,,
11917,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\7_p.xml,"Figure2    illustrates the substantial village and ethnic variation in anthropometric status, displaying the means of HAZ for each village coded by the most common resident ethnicity.",RES,HAZ,ORG,118,121,,,,
11919,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\9_p.xml,Overall 17% of children were described as frequently sick by their carers.,RES,Overall 17%,ORG,0,11,,,,
11922,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\2_are_there_ethnic_differences_i\9_p.xml,Symptoms of diarrhoea and fever were significantly more common in the Maasai compared to the Meru.,RES,Maasai,ORG,70,76,,,,
11932,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\3_are_there_ethnic_differences_i\2_p.xml,"These differences are illustrated in  Figure3 , which plots ethnic differences in child diet, by food category and child age (see  File S5  and text below for adjusted odds ratios from multivariate analyses including all villages).",RES,Figure3,ORG,38,45,,,,
11933,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\3_are_there_ethnic_differences_i\2_p.xml,"Consumption of carbohydrate-rich staple foods, such as ugali, was substantially lower among the Maasai compared to all other ethnic groups, where such foods were eaten almost universally by all children between the ages of one and five years.",RES,Maasai,ORG,96,102,,,,
11936,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\3_are_there_ethnic_differences_i\2_p.xml,"Fruit consumption was significantly lower in the Maasai compared to all other ethnic groups, but particularly compared to the Meru, where around 30–40% of children ate fruit in the previous day, compared to around 5–10% of Maasai children (OR = 2.59, 95%CI = 1.25–4.69, p<0.01).",RES,Maasai,ORG,49,55,,,,
11939,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\3_are_there_ethnic_differences_i\4_p.xml,"Fish consumption was also low for most ethnic groups, but particularly low for Maasai children (2% ate fish on the previous day), and considerably more common in the Sukuma (53% ate fish on the previous day).",RES,Maasai,ORG,79,85,,,,
11941,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\3_are_there_ethnic_differences_i\4_p.xml,"Egg consumption was low for all ethnic groups, with borderline significantly lower consumption for Maasai compared to Sukuma and Meru children.",RES,Maasai,ORG,99,105,,,,
11943,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\3_are_there_ethnic_differences_i\4_p.xml,"At the largest comparison, the odds of milk consumption was 77% lower in the Sukuma compared to the Maasai (OR = 0.23, 95% 0.15–0.35, p<0.001).",RES,Sukuma,ORG,77,83,,,,
11951,C:\Users\shiwa\pastoral_74\PMC4212918\sections\1_body\2_results\3_are_there_ethnic_differences_i\8_p.xml,"Vaccination coverage was high for all ethnicities, with over 90% of all children reporting to have had recommended vaccinations for BCG, Polio and DPT (   Table 6   ).",RES,BCG,ORG,132,135,,,,
